A̱o,Trimestre,Ingresos (miles de pesos),Periodo,Total,Ingresos_por_Acceso
2024,2,442032166.69,Abr-Jun 2024,11556107,38.25095827600073
2024,1,346198986.13,Ene-Mar 2024,11633156,29.759678812009398
2023,4,167376014.8,Oct-Dic 2023,11547661,14.494365118615796
2023,3,133106593.41,Jul-Sept 2023,11406908,11.66894599395384
2023,2,118060280.28,Jun-Mar 2023,11251897,10.492477871064764
2023,1,104134992.81,Ene-Mar 2023,11241895,9.263117366778467
2022,4,72443482.9891497,Oct-Dic 2022,11208114,6.463485559582076
2022,3,64086784.3305304,Jul-Sept 2022,11091128,5.778202571508542
2022,2,60419500.6232803,Abr-Jun 2022,10958684,5.513390168315858
2022,1,55219313.0146503,Ene-Mar 2022,10624009,5.1975965960354795
2021,4,45467887.1650125,Oct-Dic 2021,10489794,4.334488090520415
2021,3,42999944.2928225,Jul-Sept 2021,10085541,4.263523820172116
2021,2,38239666.6335425,Abr-Jun 2021,9863084,3.8770496767078635
2021,1,36676371.3623924,Ene-Mar 2021,9647972,3.8014591421277344
2020,4,33539702.7163118,Oct-Dic 2020,9571562,3.504099196798997
2020,3,31997444.5306992,Jul-Sept 2020,9356199,3.4199191926870305
2020,2,32102475.9914636,Abr-Jun 2020,9031056,3.5546757756195513
2020,1,29946216.4520491,Ene-Mar 2020,8812426,3.398180756587244
2019,4,24169250.6990153,Oct-Dic 2019,8793181,2.7486356415289643
2019,3,21652748.4446425,Jul-Sept 2019,9164684,2.362629027322982
2019,2,20743117.6940061,Abr-Jun 2019,8960181,2.3150333340371247
2019,1,20207413.7708524,Ene-Mar 2019,8648135,2.336620990635831
2018,4,16637686.5890096,Oct-Dic 2018,8473655,1.9634604652903145
2018,3,15410980.692583,Jul-Sept 2018,8347035,1.846282026202478
2018,2,14319467.4607138,Abr-Jun 2018,8110444,1.7655590077083079
2018,1,13171459.2308934,Ene-Mar 2018,8037053,1.638841902733925
2017,4,11226127.38858,Oct-Dic 2017,7870222,1.426405429043806
2017,3,10065997.86215,Jul-Sept 2017,7553629,1.3326042174099364
2017,2,9678646.92829,Abr-Jun 2017,7323717,1.321548460746094
2017,1,8701201.42137,Ene-Mar 2017,7199018,1.2086650458951484
2016,4,7483980.39327901,Oct-Dic 2016,7144696,1.0474875898539295
2016,3,6912441.53885665,Jul-Sept 2016,7141925,0.9678681222298819
2016,2,6534240.5975,Abr-Jun 2016,7172464,0.9110175523362682
2016,1,5936844.8865,Ene-Mar 2016,6835285,0.8685584999747633
2015,4,5376899.206,Oct-Dic 2015,6916766,0.7773718535512116
2015,3,5153738.88436,Jul-Sept 2015,6852988,0.7520425957786588
2015,2,4701790.71966,Abr-Jun 2015,6786105,0.6928555805812023
2015,1,4876385.31507,Ene-Mar 2015,6623212,0.7362568667694768
2014,4,3950440.78037,Oct-Dic 2014,6475485,0.6100609885390824
2014,3,3478637.74279962,Jul-Sept 2014,6367671,0.5462967139476301
2014,2,3270816.20391,Abr-Jun 2014,6348745,0.515190987180931
2014,1,2984054.20878,Ene-Mar 2014,6272846,0.47570978289280497
